rom,title,year,manufacturer
acw443,ABC 210/Cambridge Workstation,1985,Acorn
ad2083,A. D. 2083,1983,Midcoin
ad4ctl,Cop The Lot Club (Video) (Bellfruit) (Adder 4) (set 1),200?,BFM
ad4ctla,Cop The Lot Club (Video) (Bellfruit) (Adder 4) (set 2),200?,BFM
ad4film,Film Premiere (Video?) (Bellfruit) (Adder 4) (set 1),200?,BFM
ad4filma,Film Premiere (Video?) (Bellfruit) (Adder 4) (set 2),200?,BFM
ad4skill,Skill Dice (BFM) (Scorpion 4 + Adder 4),200?,BFM
ad5bpfpm,Bullseye Pounds For Points (Mazooma) (Adder 5) (set 1),200?,Mazooma
ad5bpfpma,Bullseye Pounds For Points (Mazooma) (Adder 5) (set 2),200?,Mazooma
ad5bpfpmb,Bullseye Pounds For Points (Mazooma) (Adder 5) (set 3),200?,Mazooma
ad5bpfpmc,Bullseye Pounds For Points (Mazooma) (Adder 5) (set 4),200?,Mazooma
ad5bpfpmd,Bullseye Pounds For Points (Mazooma) (Adder 5) (set 5),200?,Mazooma
ad5btc,"Bullseye Triple Club (PR1758, BFGPBULS) (Bellfruit) (Adder 5) (set 1)",200?,BFM
ad5btca,"Bullseye Triple Club (PR1758, BFGPBULS) (Bellfruit) (Adder 5) (set 3)",200?,BFM
ad5btcb,"Bullseye Triple Club (PR1758, BFGNBULS) (Bellfruit) (Adder 5) (set 4)",200?,BFM
ad5cmons,Crazy Money (Bellfruit) (Adder 5) (set 1),200?,BFM
ad5cmonsa,Crazy Money (Bellfruit) (Adder 5) (set 2),200?,BFM
ad5copsr,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 1),200?,BFM
ad5copsr0,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 7),200?,Mazooma
ad5copsr1,Cops 'n' Robbers (PR2497) (Mazooma) (Adder 5) (set 2),200?,Mazooma
ad5copsr2,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 8),200?,Mazooma
ad5copsr3,Cops 'n' Robbers (PR2628) (Mazooma) (Adder 5) (set 1),200?,Mazooma
ad5copsr4,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 5),200?,Mazooma
ad5copsr5,Cops 'n' Robbers (PR2628) (Mazooma) (Adder 5) (set 2),200?,Mazooma
ad5copsr6,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 6),200?,Mazooma
ad5copsr7,Cops 'n' Robbers (PR2628) (Mazooma) (Adder 5) (set 4),200?,Mazooma
ad5copsra,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 2),200?,BFM
ad5copsrb,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 3),200?,BFM
ad5copsrc,Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 1),200?,BFM
ad5copsrd,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 4),200?,BFM
ad5copsre,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 5),200?,BFM
ad5copsrf,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 6),200?,BFM
ad5copsrg,Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 2),200?,BFM
ad5copsrh,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 1),200?,Mazooma
ad5copsri,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 2),200?,Mazooma
ad5copsrj,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 5),200?,Mazooma
ad5copsrk,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 7),200?,BFM
ad5copsrl,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 8),200?,BFM
ad5copsrm,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 9),200?,BFM
ad5copsrn,Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 3),200?,BFM
ad5copsro,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 10),200?,BFM
ad5copsrp,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 11),200?,BFM
ad5copsrq,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 12),200?,BFM
ad5copsrr,Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 4),200?,BFM
ad5copsrs,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 3),200?,Mazooma
ad5copsrt,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 4),200?,Mazooma
ad5copsru,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 6),200?,Mazooma
ad5copsrv,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 13),200?,BFM
ad5copsrw,Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 14),200?,BFM
ad5copsrx,Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 5),200?,BFM
ad5copsry,Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 6),200?,BFM
ad5copsrz,Cops 'n' Robbers (PR2497) (Mazooma) (Adder 5) (set 1),200?,Mazooma
ad5crcpt,Cops 'n' Robbers Community Party (Bellfruit) (Adder 5) (set 1),200?,BFM
ad5crcpta,Cops 'n' Robbers Community Party (Bellfruit) (Adder 5) (set 2),200?,BFM
ad5crsc,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 1),200?,Mazooma
ad5crsca,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 2),200?,Mazooma
ad5crscb,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 3),200?,Mazooma
ad5crscc,Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 4),200?,Mazooma
ad5crscd,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 7),200?,Mazooma
ad5crsce,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 8),200?,Mazooma
ad5crscf,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 9),200?,Mazooma
ad5crscg,Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 10),200?,Mazooma
ad5crsch,Cops 'n' Robbers (PR2628) (Mazooma) (Adder 5) (set 3),200?,Mazooma
ad5dnd,Deal Or No Deal (Bellfruit) (Adder 5) (set 1),200?,BFM
ad5dnda,Deal Or No Deal (Bellfruit) (Adder 5) (set 2),200?,BFM
ad5dndb,Deal Or No Deal (Bellfruit) (Adder 5) (set 3),200?,BFM
ad5dndc,Deal Or No Deal (Bellfruit) (Adder 5) (set 4),200?,BFM
ad5dndcl,Deal Or No Deal Club (Bellfruit) (Adder 5) (set 1),200?,BFM
ad5dndcla,Deal Or No Deal Club (Bellfruit) (Adder 5) (set 2),200?,BFM
ad5dndclb,Deal Or No Deal Club (Bellfruit) (Adder 5) (set 3),200?,BFM
ad5dndclc,Deal Or No Deal Club (Bellfruit) (Adder 5) (set 4),200?,BFM
ad5dndcld,Deal Or No Deal Club (Bellfruit) (Adder 5) (set 5),200?,BFM
ad5dndcle,Deal Or No Deal Club (Bellfruit) (Adder 5) (set 6),200?,BFM
ad5dndclf,Deal Or No Deal Club (Bellfruit) (Adder 5) (set 20),200?,BFM
ad5dndclg,Deal Or No Deal Club (Bellfruit) (Adder 5) (set 21),200?,BFM
ad5dndd,Deal Or No Deal (Bellfruit) (Adder 5) (set 5),200?,BFM
ad5dnddd,Deal Or No Deal Double Deal Or No Deal (Bellfruit) (Adder 5) (set 1),200?,BFM
ad5dnddda,Deal Or No Deal Double Deal Or No Deal (Bellfruit) (Adder 5) (set 2),200?,BFM
ad5dnde,Deal Or No Deal (Bellfruit) (Adder 5) (set 6),200?,BFM
ad5dndf,Deal Or No Deal (Bellfruit) (Adder 5) (set 7),200?,BFM
ad5dndg,Deal Or No Deal (Bellfruit) (Adder 5) (set 8),200?,BFM
ad5dndh,Deal Or No Deal (Bellfruit) (Adder 5) (set 9),200?,BFM
ad5dndi,Deal Or No Deal (Bellfruit) (Adder 5) (set 10),200?,BFM
ad5dndj,Deal Or No Deal (Bellfruit) (Adder 5) (set 11),200?,BFM
ad5dndk,Deal Or No Deal (Bellfruit) (Adder 5) (set 12),200?,BFM
ad5dndl,Deal Or No Deal (Bellfruit) (Adder 5) (set 13),200?,BFM
ad5dndm,Deal Or No Deal (Bellfruit) (Adder 5) (set 14),200?,BFM
ad5dndn,Deal Or No Deal (Bellfruit) (Adder 5) (set 15),200?,BFM
ad5dndo,Deal Or No Deal (Bellfruit) (Adder 5) (set 16),200?,BFM
ad5dndp,Deal Or No Deal (Bellfruit) (Adder 5) (set 17),200?,BFM
ad5dndpg,Deal Or No Deal The Perfect Game (Bellfruit) (Adder 5) (set 1),200?,BFM
ad5dndpga,Deal Or No Deal The Perfect Game (Bellfruit) (Adder 5) (set 2),200?,BFM
ad5dndpgb,Deal Or No Deal The Perfect Game (Bellfruit) (Adder 5) (set 3),200?,BFM
ad5dndpgc,Deal Or No Deal The Perfect Game (Bellfruit) (Adder 5) (set 4),200?,BFM
ad5dndpl,Deal Or No Deal Platinum (Bellfruit) (Adder 5) (set 1),200?,BFM
ad5dndpla,Deal Or No Deal Platinum (Bellfruit) (Adder 5) (set 2),200?,BFM
ad5dndplb,Deal Or No Deal Platinum (Bellfruit) (Adder 5) (set 3),200?,BFM
ad5dndplc,Deal Or No Deal Platinum (Bellfruit) (Adder 5) (set 4),200?,BFM
ad5dndq,Deal Or No Deal (Bellfruit) (Adder 5) (set 18),200?,BFM
ad5dndr,Deal Or No Deal (Bellfruit) (Adder 5) (set 19),200?,BFM
ad5dndu,Deal Or No Deal (Bellfruit) (Adder 5) (set 22),200?,BFM
ad5dndv,Deal Or No Deal (Bellfruit) (Adder 5) (set 23),200?,BFM
ad5eyes,"Eyes Down (PR2242, MAZNEYDW) (Mazooma) (Adder 5) (set 1)",200?,Mazooma
ad5eyesa,"Eyes Down (PR2242, MAZNEYDW) (Mazooma) (Adder 5) (set 2)",200?,Mazooma
ad5eyesb,"Eyes Down (PR2246, MAZNEYDW) (Mazooma) (Adder 5) (set 1)",200?,Mazooma
ad5eyesc,"Eyes Down (PR2246, MAZPEYDW) (Mazooma) (Adder 5) (set 1)",200?,Mazooma
ad5eyesd,"Eyes Down (PR2242, MAZPEYDW) (Mazooma) (Adder 5) (set 1)",200?,Mazooma
ad5eyese,"Eyes Down (PR2242, MAZPEYDW) (Mazooma) (Adder 5) (set 2)",200?,Mazooma
ad5eyesf,"Eyes Down (PR2246, MAZPEYDW) (Mazooma) (Adder 5) (set 2)",200?,Mazooma
ad5eyesg,"Eyes Down (PR2246, MAZNEYDW) (Mazooma) (Adder 5) (set 2)",200?,Mazooma
ad5gldmn,Gold Mine (Bellfruit) (Adder 5) (set 1),200?,BFM
ad5gldmna,Gold Mine (Bellfruit) (Adder 5) (set 2),200?,BFM
ad5gldmnb,Gold Mine (Bellfruit) (Adder 5) (set 3),200?,BFM
ad5gldmnc,Gold Mine (Bellfruit) (Adder 5) (set 4),200?,BFM
ad5gldmnd,Gold Mine (Bellfruit) (Adder 5) (set 5),200?,BFM
ad5gldmne,Gold Mine (Bellfruit) (Adder 5) (set 6),200?,BFM
ad5gldmnf,Gold Mine (Bellfruit) (Adder 5) (set 7),200?,BFM
ad5gldmng,Gold Mine (Bellfruit) (Adder 5) (set 8),200?,BFM
ad5gldmnh,Gold Mine (Bellfruit) (Adder 5) (set 9),200?,BFM
ad5gldmni,Gold Mine (Bellfruit) (Adder 5) (set 10),200?,BFM
ad5gldmnj,Gold Mine (Bellfruit) (Adder 5) (set 11),200?,BFM
ad5gldmnk,Gold Mine (Bellfruit) (Adder 5) (set 12),200?,BFM
ad5gldwn,Golden Winner (Mazooma) (Adder 5) (set 1),200?,Mazooma
ad5gldwna,Golden Winner (Mazooma) (Adder 5) (set 2),200?,Mazooma
ad5hir,Hi Roller (Bellfruit) (Adder 5) (set 1),200?,BFM
ad5hira,Hi Roller (Bellfruit) (Adder 5) (set 2),200?,BFM
ad5hirb,Hi Roller (Bellfruit) (Adder 5) (set 3),200?,BFM
ad5hirc,Hi Roller (Bellfruit) (Adder 5) (set 4),200?,BFM
ad5hircl,Hi Roller Club (Bellfruit) (Adder 5) (set 1),200?,BFM
ad5hircla,Hi Roller Club (Bellfruit) (Adder 5) (set 2),200?,BFM
ad5hirclb,Hi Roller Club (Bellfruit) (Adder 5) (set 3),200?,BFM
ad5jckmo,"Jackpot Monopoly (PR2226, MAZNJACM) (Mazooma) (Adder 5) (set 1)",200?,Mazooma
ad5jckmoa,"Jackpot Monopoly (PR2226, MAZNJACM) (Mazooma) (Adder 5) (set 2)",200?,Mazooma
ad5jckmob,"Jackpot Monopoly (PR2253, MAZNJACM) (Mazooma) (Adder 5)",200?,Mazooma
ad5jckmoc,"Jackpot Monopoly (PR2226, MAZNJACM) (Mazooma) (Adder 5) (set 3)",200?,Mazooma
ad5jckmod,"Jackpot Monopoly (PR2226, MAZPJACM) (Mazooma) (Adder 5) (set 1)",200?,Mazooma
ad5jckmoe,"Jackpot Monopoly (PR2226, MAZPJACM) (Mazooma) (Adder 5) (set 2)",200?,Mazooma
ad5mcob,Monte Carlo Or Bust (Qps) (Adder 5) (set 1),200?,Qps
ad5mcoba,Monte Carlo Or Bust (Qps) (Adder 5) (set 2),200?,Qps
ad5mcobb,Monte Carlo Or Bust (Qps) (Adder 5) (set 3),200?,Qps
ad5mcobc,Monte Carlo Or Bust (Qps) (Adder 5) (set 4),200?,Qps
ad5monop,"Random Monopoly (PR2217, MAZNRNDN) (Mazooma) (Adder 5) (set 1)",200?,Mazooma
ad5monopa,"Random Monopoly (PR2217, MAZNRNDN) (Mazooma) (Adder 5) (set 2)",200?,Mazooma
ad5monopb,"Random Monopoly (PR2217, MAZNRNDN) (Mazooma) (Adder 5) (set 3)",200?,Mazooma
ad5monopc,"Random Monopoly (PR2217, MAZNRNDN) (Mazooma) (Adder 5) (set 4)",200?,Mazooma
ad5monopd,"Random Monopoly (PR2221, MAZNRNDN) (Mazooma) (Adder 5) (set 1)",200?,Mazooma
ad5monope,"Random Monopoly (PR2221, MAZNRNDN) (Mazooma) (Adder 5) (set 2)",200?,Mazooma
ad5monopf,"Random Monopoly (PR2217, MAZPRNDN) (Mazooma) (Adder 5) (set 1)",200?,Mazooma
ad5monopg,"Random Monopoly (PR2217, MAZPRNDN) (Mazooma) (Adder 5) (set 2)",200?,Mazooma
ad5monoph,"Random Monopoly (PR2217, MAZPRNDN) (Mazooma) (Adder 5) (set 3)",200?,Mazooma
ad5monopi,"Random Monopoly (PR2217, MAZPRNDN) (Mazooma) (Adder 5) (set 4)",200?,Mazooma
ad5monopj,"Random Monopoly (PR2221, MAZPRNDN) (Mazooma) (Adder 5) (set 1)",200?,Mazooma
ad5monopk,"Random Monopoly (PR2221, MAZPRNDN) (Mazooma) (Adder 5) (set 2)",200?,Mazooma
ad5mowow,"Monopoly Wheel Of Wealth (PR2365, MAZNBPFP) (Mazooma) (Adder 5) (set 1)",200?,Mazooma
ad5mowowa,"Monopoly Wheel Of Wealth (PR2365, MAZNWOWT) (Mazooma) (Adder 5) (set 1)",200?,Mazooma
ad5mowowb,"Monopoly Wheel Of Wealth (PR2365, MAZNWOWT) (Mazooma) (Adder 5) (set 2)",200?,Mazooma
ad5mowowc,"Monopoly Wheel Of Wealth (PR2389, MAZNWWBU) (Mazooma) (Adder 5)",200?,Mazooma
ad5mowowd,"Monopoly Wheel Of Wealth (PR2365, MAZNMWOW) (Mazooma) (Adder 5)",200?,Mazooma
ad5mowowe,"Monopoly Wheel Of Wealth (PR2365, MAZPBPFP) (Mazooma) (Adder 5) (set 1)",200?,Mazooma
ad5mowowf,"Monopoly Wheel Of Wealth (PR2365, MAZPWOWT) (Mazooma) (Adder 5) (set 1)",200?,Mazooma
ad5mowowg,"Monopoly Wheel Of Wealth (PR2365, MAZPWOWT) (Mazooma) (Adder 5) (set 2)",200?,Mazooma
ad5mowowh,"Monopoly Wheel Of Wealth (PR2389, MAZPWWBU) (Mazooma) (Adder 5)",200?,Mazooma
ad5mowowi,"Monopoly Wheel Of Wealth (PR2365, MAZPMWOW) (Mazooma) (Adder 5)",200?,Mazooma
ad5mowowj,Monopoly Wheel Of Wealth (PR3075) (Adder 5) (set 1),200?,Mazooma
ad5mowowk,Monopoly Wheel Of Wealth (PR3075) (Adder 5) (set 2),200?,Mazooma
ad5mowowl,"Monopoly Wheel Of Wealth (PR2365, MAZNBPFP) (Mazooma) (Adder 5) (set 2)",200?,Mazooma
ad5mowowm,"Monopoly Wheel Of Wealth (PR2365, MAZPBPFP) (Mazooma) (Adder 5) (set 2)",200?,Mazooma
ad5mr2r,Monopoly Road To Riches (Mazooma) (Adder 5) (set 1),200?,Mazooma
ad5mr2ra,Monopoly Road To Riches (Mazooma) (Adder 5) (set 2),200?,Mazooma
ad5mr2rb,Monopoly Road To Riches (Mazooma) (Adder 5) (set 3),200?,Mazooma
ad5mr2rc,Monopoly Road To Riches (Mazooma) (Adder 5) (set 4),200?,Mazooma
ad5mr2rd,Monopoly Road To Riches (Mazooma) (Adder 5) (set 5),200?,Mazooma
ad5mr2re,Monopoly Road To Riches (Mazooma) (Adder 5) (set 6),200?,Mazooma
ad5mr2rf,Monopoly Road To Riches (Mazooma) (Adder 5) (set 7),200?,Mazooma
ad5mr2rg,Monopoly Road To Riches (Mazooma) (Adder 5) (set 8),200?,Mazooma
ad5mr2rh,Monopoly Road To Riches (Mazooma) (Adder 5) (set 9),200?,Mazooma
ad5mww,Random Monopoly Wonders Of The World (PR2284) (Mazooma) (Adder 5),200?,Mazooma
ad5mwwa,Random Monopoly Wonders Of The World (PR2291) (Mazooma) (Adder 5),200?,Mazooma
ad5pking,Poker King (Bellfruit) (Adder 5) (set 1),200?,BFM
ad5pkinga,Poker King (Bellfruit) (Adder 5) (set 2),200?,BFM
ad5pp,"Pink Panther (PR2283, QPSNPINK) (Mazooma) (Adder 5) (set 1)",200?,Mazooma
ad5ppa,"Pink Panther (PR2283, QPSNPINK) (Mazooma) (Adder 5) (set 2)",200?,Mazooma
ad5ppb,"Pink Panther (PR2267, MAZNPINK) (Mazooma) (Adder 5) (set 1)",200?,Mazooma
ad5ppbtb,"Pink Panther Break The Bank (PR2304, QPSNPPBB) (Qps) (Adder 5) (set 1)",200?,Qps
ad5ppbtba,"Pink Panther Break The Bank (PR2304, QPSNPPBB) (Qps) (Adder 5) (set 2)",200?,Qps
ad5ppbtbb,"Pink Panther Break The Bank (PR2304, QPSPPPBB) (Qps) (Adder 5) (set 1)",200?,Qps
ad5ppbtbc,"Pink Panther Break The Bank (PR2304, QPSPPPBB) (Qps) (Adder 5) (set 2)",200?,Qps
ad5ppc,"Pink Panther (PR2267, MAZNPINK) (Mazooma) (Adder 5) (set 2)",200?,Mazooma
ad5ppd,Pink Panther (MAZNPINK) (Mazooma) (Adder 5) (set 1),200?,Mazooma
ad5ppe,Pink Panther (MAZNPINK) (Mazooma) (Adder 5) (set 2),200?,Mazooma
ad5ppf,"Pink Panther (PR2283, QPSPPINK) (Mazooma) (Adder 5) (set 1)",200?,Mazooma
ad5ppg,"Pink Panther (PR2283, QPSPPINK) (Mazooma) (Adder 5) (set 2)",200?,Mazooma
ad5pph,"Pink Panther (PR2267, MAZPPINK) (Mazooma) (Adder 5)",200?,Mazooma
ad5ppi,Pink Panther (MAZPPINK) (Mazooma) (Adder 5) (set 1),200?,Mazooma
ad5ppj,Pink Panther (MAZPPINK) (Mazooma) (Adder 5) (set 2),200?,Mazooma
ad5rapid,Rapid Pay (Bellfruit) (Adder 5) (set 1),200?,BFM
ad5rapida,Rapid Pay (Bellfruit) (Adder 5) (set 2),200?,BFM
ad5rcash,Reel Cash (Mazooma) (Adder 5) (set 1),200?,Mazooma
ad5rcasha,Reel Cash (Mazooma) (Adder 5) (set 2),200?,Mazooma
ad5rroul,Reel Roulette (QPSNRLRO) (Mazooma) (Adder 5),200?,Mazooma
ad5rroula,Reel Roulette (QPSPRLRO) (Mazooma) (Adder 5),200?,Mazooma
ad5rroulb,Reel Roulette (MAZNRERO) (Mazooma) (Adder 5),200?,Mazooma
ad5rroulc,Reel Roulette (MAZPRERO) (Mazooma) (Adder 5),200?,Mazooma
ad5rsclb,"Random Spinner Club (PR1669, BFGNRNDN) (Bellfruit) (Adder 5) (set 1)",200?,BFM
ad5rsclba,"Random Spinner Club (PR1826, BFGNRNDN) (Bellfruit) (Adder 5) (set 1)",200?,BFM
ad5rsclbb,"Random Spinner Club (PR1826, BFGNRNDN) (Bellfruit) (Adder 5) (set 2)",200?,BFM
ad5rsclbc,"Random Spinner Club (PR1669, BFGNRNDN) (Bellfruit) (Adder 5) (set 2)",200?,BFM
ad5rsclbd,"Random Spinner Club (PR1669, BFGNRNDN) (Bellfruit) (Adder 5) (set 3)",200?,BFM
ad5rsclbe,"Random Spinner Club (PR1669, BFGNRNDN) (Bellfruit) (Adder 5) (set 4)",200?,BFM
ad5rsclbf,"Random Spinner Club (PR1669, BFGPRNDN) (Bellfruit) (Adder 5) (set 1)",200?,BFM
ad5rsclbg,"Random Spinner Club (PR1826, BFGPRNDN) (Bellfruit) (Adder 5) (set 1)",200?,BFM
ad5rsclbh,"Random Spinner Club (PR1826, BFGPRNDN) (Bellfruit) (Adder 5) (set 2)",200?,BFM
ad5rsclbi,"Random Spinner Club (PR1669, BFGPRNDN) (Bellfruit) (Adder 5) (set 2)",200?,BFM
ad5rsclbj,"Random Spinner Club (PR1669, BFGPRNDN) (Bellfruit) (Adder 5) (set 3)",200?,BFM
ad5rsnw,"Random Spin 'n' Win (PR2226, MAZNRNDN) (Mazooma) (Adder 5) (set 1)",200?,Mazooma
ad5rsnwa,"Random Spin 'n' Win (PR2226, MAZNRNDN) (Mazooma) (Adder 5) (set 2)",200?,Mazooma
ad5rsnwb,"Random Spin 'n' Win (PR2226, MAZPRNDN) (Mazooma) (Adder 5) (set 1)",200?,Mazooma
ad5rsnwc,"Random Spin 'n' Win (PR2226, MAZPRNDN) (Mazooma) (Adder 5) (set 2)",200?,Mazooma
ad5rspin,"Random Spinner (PR1669, BFGNRNDN) (Bellfruit) (Adder 5) (set 1)",200?,BFM
ad5rspinb,"Random Spinner (PR1669, BFGPRNDN) (Bellfruit) (Adder 5) (set 2)",200?,BFM
ad5rspinc,Random Spinner (Bellfruit) (Adder 5) (set 1),200?,BFM
ad5rsrm,Ronnie O'Sullivan's Rocket Money (Bellfruit) (Adder 5) (set 1),200?,BFM
ad5rsrma,Ronnie O'Sullivan's Rocket Money (Bellfruit) (Adder 5) (set 2),200?,BFM
ad5rsrr,Ronnie O'Sullivan's Rocket Money (Bellfruit) (Adder 5) (set 3),200?,BFM
ad5rsrra,Ronnie O'Sullivan's Rocket Money (Bellfruit) (Adder 5) (set 4),200?,BFM
ad5rwclb,"Random Winner Club (PR1756, BFGNRWSX) (Bellfruit) (Adder 5) (set 1)",200?,BFM
ad5rwclba,"Random Winner Club (PR1756, BFGNRWSX) (Bellfruit) (Adder 5) (set 2)",200?,BFM
ad5rwclbb,"Random Winner Club (PR1756, BFGPRWSX) (Bellfruit) (Adder 5) (set 1)",200?,BFM
ad5rwclbc,"Random Winner Club (PR1756, BFGPRWSX) (Bellfruit) (Adder 5) (set 2)",200?,BFM
ad5rwclbd,"Random Winner Club (PR1757, BFGPRWCL) (Bellfruit) (Adder 5)",200?,BFM
ad5rwclbe,"Random Winner Club (PR1757, BFGNRWCL) (Bellfruit) (Adder 5)",200?,BFM
ad5sslam,Super Slam (Bellfruit) (Adder 5) (set 1),200?,BFM
ad5sslama,Super Slam (Bellfruit) (Adder 5) (set 2),200?,BFM
ad5sslamb,Super Slam (Bellfruit) (Adder 5) (set 3),200?,BFM
ad5sslamc,Super Slam (Bellfruit) (Adder 5) (set 4),200?,BFM
ad5sslamd,Super Slam (Bellfruit) (Adder 5) (set 5),200?,BFM
ad5sslame,Super Slam (Bellfruit) (Adder 5) (set 6),200?,BFM
ad5sslamf,Super Slam (Bellfruit) (Adder 5) (set 7),200?,BFM
ad5tornc,"Tornado Club (PR1629, 5.5, rv 8, BFGNTORD) (Bellfruit) (Adder 5)",200?,BFM
ad5tornca,"Tornado Club (PR1629, 5.8, rv 7, BFGNTORD) (Bellfruit) (Adder 5)",200?,BFM
ad5torncb,"Tornado Club (PR1629, 5.5, rv 8, BFGPTORD) (Bellfruit) (Adder 5)",200?,BFM
ad5torncc,"Tornado Club (PR1629, 5.8, rv 7, BFGPTORD) (Bellfruit) (Adder 5)",200?,BFM
ad5torncd,"Tornado Club (PR1627, 0.1, rv 1, BFGPTORN) (Bellfruit) (Adder 5)",200?,BFM
ad5tornce,"Tornado Club (PR1627, 0.1, rv 1, BFGNTORN) (Bellfruit) (Adder 5)",200?,BFM
ad5vlv,Viva Las Vegas (Bellfruit) (Adder 5) (set 1),200?,BFM
ad5vlvb,Viva Las Vegas (Bellfruit) (Adder 5) (set 2),200?,BFM
ad5vlvc,Viva Las Vegas (Bellfruit) (Adder 5) (set 3),200?,BFM
ad5vlvd,Viva Las Vegas (Bellfruit) (Adder 5) (set 4),200?,BFM
ad5vlve,Viva Las Vegas (Bellfruit) (Adder 5) (set 5),200?,BFM
ad5vlvf,Viva Las Vegas (Bellfruit) (Adder 5) (set 6),200?,BFM
ad5vpa,Video Poker Ace (Bellfruit) (Adder 5) (set 1),200?,BFM
ad5vpaa,Video Poker Ace (Bellfruit) (Adder 5) (set 2),200?,BFM
ad5vpab,Video Poker Ace (Bellfruit) (Adder 5) (set 3),200?,BFM
ad5vpac,Video Poker Ace (Bellfruit) (Adder 5) (set 4),200?,BFM
adam,Adam,1982,Coleco
adam_ddp,Adam DDP,,
adam_expansion_slot,ADAM expansion slot,,
adam_fdc,Adam FDC,,
adam_ide,Powermate HP IDE,,
adam_kb,Adam keyboard,,
adam_prn,Adam printer,,
adam_ram,Adam 64KB RAM expansion,,
adam_spi,Adam SPI,,
adamlink,AdamLink modem,,
adamnet,ADAMnet bus,,
adamnet_slot,ADAMnet slot,,
adc0808,ADC0808,,
adc0834,ADC0834,,
adc0838,ADC0838,,
adc1038,ADC1038,,
adc12138,ADC12138,,
address_map_bank,Address Map Bank,,
adillor,Armadillo Racing (Rev. AM1 Ver.A),1996,Namco
adonis,"Adonis (0200751V, NSW/ACT)",1998,Aristocrat
adonisa,"Adonis (0100751V, NSW/ACT)",1998,Aristocrat
adonise,"Adonis (MV4124/1, Export)",2001,Aristocrat
adsp2100,ADSP-2100,,
adsp2101,ADSP-2101,,
adsp2104,ADSP-2104,,
adsp2105,ADSP-2105,,
adsp21062,ADSP21062,,
adsp2115,ADSP-2115,,
adsp2181,ADSP-2181,,
adults,Adults Only (Russia) (Extrema),200?,Extrema
advision,Adventure Vision,1982,Entex
advsnha,Advision Home Arcade,1983,Advision
aerfboo2,Aero Fighters (bootleg set 2),1992,bootleg
aerfboot,Aero Fighters (bootleg set 1),1992,bootleg
aeroboto,Aeroboto,1984,Jaleco (Williams license)
aerofgt,Aero Fighters (World / USA + Canada / Korea / Hong Kong / Taiwan) (newer hardware),1992,Video System Co.
aerofgtb,"Aero Fighters (Taiwan / Japan, set 1)",1992,Video System Co.
aerofgtc,"Aero Fighters (Taiwan / Japan, set 2)",1992,Video System Co.
aerofgts,Aero Fighters Special (Taiwan),1996,Video System Co.
aerolitos,Aerolitos (Spanish bootleg of Asteroids),1980,bootleg (Rodmar Elec.)
aes,Neo-Geo AES,1990,SNK
afighter,Action Fighter (FD1089A 317-0018),1986,Sega
afire,Astro Fire,1979,bootleg (Rene Pierre)
afm_10,Attack From Mars (1.0),1995,Bally
